Gene_id	Max_aMAFC	Max_Time	PassMaxtime	On_trans	Off_trans	12B-10G_MaxVal	12B-3D7B_MaxVal	10G-3D7B_MaxVal	12B-10G_MaxTime	12B-3D7B_MaxTime	10G-3D7B_MaxTime	A7-B11_MaxVal	A7-E5_MaxVal	A7-B11_MaxTime	A7-E5_MaxTime	E5-B11_MaxVal	E5-B11_MaxTime	Is_3D7B	Is_tRNA.x	Is_tRNA.y
PF3D7_0610100	0.11460983876921352	Right	FALSE	A7	E5	-0.0539512995482594	-0.07433905226984	-0.0693598230161037	Mid	Right	Right	0.10500018467152	0.114609838769214	Right	Right	-0.0588492722062542	Left	FALSE	FALSE	FALSE
PF3D7_1364400	0.1140137015926896	Mid	FALSE	12B	10G	0.11401370159269	0.0860116890745482	-0.0663933550989444	Mid	Left	Mid	-0.0455660679251642	-0.0487404946309167	Right	Right	0.0177722317515913	Mid	FALSE	FALSE	FALSE
PF3D7_0828300	-0.11394894767411684	Left	FALSE	B11	A7	-0.0253357258377186	-0.0730809323075616	-0.0878418593568853	Mid	Left	Left	-0.113948947674117	-0.0786590319123682	Left	Mid	-0.102559818195473	Left	FALSE	FALSE	FALSE
PF3D7_1109500	-0.1124367510868561	Left	FALSE	E5	A7	NA	NA	NA	NA	NA	NA	-0.0915071889012166	-0.112436751086856	Left	Left	-0.0437126477251434	Mid	FALSE	FALSE	FALSE
PF3D7_0913900	-0.11212100359075404	Right	FALSE	E5	A7	0.0405976044882074	0.0570737309926146	-0.0665850511844001	Left	Mid	Sides	0.0900026143566627	-0.112121003590754	Mid	Right	0.108143593669927	Mid	FALSE	FALSE	FALSE
PF3D7_1463700	-0.11210842624756284	Left	FALSE	10G	12B	-0.112108426247563	-0.0660873019828667	0.0782572706192518	Left	Sides	Mid	0.055941690551413	0.0784621075971342	Right	Right	0.0486151142280092	Left	FALSE	FALSE	FALSE
PF3D7_1368400	0.11134790526285249	Mid	FALSE	A7	E5	0.0274718253907452	0.0308360193067926	0.00336419391604741	Left	Left	Left	-0.0188766502075623	0.111347905262852	Sides	Mid	-0.108729944884677	Mid	FALSE	FALSE	FALSE
PF3D7_1233000	-0.10968587873045924	Right	FALSE	10G	12B	-0.109685878730459	-0.079020242872	0.090476954313763	Right	Sides	Right	-0.0737673708511873	0.026519015308193	Right	Left	-0.0564980908275108	Right	FALSE	FALSE	FALSE
PF3D7_0812220	0.10967044873694828	Mid	FALSE	10G	NA	0.0414370949595482	0.108268138053519	0.109670448736948	Sides	Right	Mid	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
PF3D7_1012000	0.10866495149175646	Mid	FALSE	A7	E5	0.0891573756407926	0.0612691167714889	-0.0865323008088963	Right	Left	Right	-0.0381228921932784	0.108664951491756	Sides	Mid	-0.0776836125814562	Mid	FALSE	FALSE	FALSE
PF3D7_1116100	0.10858872699519644	Mid	FALSE	E5	B11	-0.0595769541796072	-0.0980690039846295	-0.0878395513402295	Right	Mid	Left	-0.04657466045802	-0.108392881610378	Right	Mid	0.108588726995196	Mid	FALSE	FALSE	FALSE
PF3D7_0922700	0.10855809687385402	Right	FALSE	E5	B11	NA	NA	NA	NA	NA	NA	0.0882229013668082	-0.0885931482974847	Right	Sides	0.108558096873854	Right	FALSE	FALSE	FALSE
PF3D7_0208300	0.10833023915171328	Left	FALSE	A7	B11	0.0726435636837349	0.106836515316	0.0831984289062891	Right	Sides	Sides	0.108330239151713	0.0561194258691435	Left	Right	0.0762018527263787	Left	FALSE	FALSE	FALSE
PF3D7_1129500	-0.10775622591436528	Sides	FALSE	E5	A7	0.0551645433933777	0.103175717398015	0.048011174004637	Sides	Sides	Sides	-0.103540866729971	-0.107756225914365	Mid	Sides	-0.0812932762663427	Mid	FALSE	FALSE	FALSE
