Old_id	Gene_id
PFB0030c	PF3D7_0200500
PF10_0102	PF3D7_1010500
2277.t00421	PF3D7_1243800
MAL12P1.419	PF3D7_1243800
PFL2105c	PF3D7_1243800
PF13_0073	PF3D7_1301400
MAL8P1.53	PF3D7_0821000
MAL5P1.262	PF3D7_0526300
PFE1310c	PF3D7_0526300
MAL8P1.143	PF3D7_0803600
1791.m00047	PF3D7_0732400
PF07_0134	PF3D7_0732400
MAL13P1.195	PF3D7_1338800
2277.t00035	PF3D7_1203500
MAL12P1.35	PF3D7_1203500
PFL0175c	PF3D7_1203500
PF11_0480	PF3D7_1147000
PF10_0291	PF3D7_1029800
MAL4P1.180	PF3D7_0419100
PFD0925w	PF3D7_0419100
PFD0047c	PF3D7_0401100
PF14_0465	PF3D7_1448700
PF14_0430	PF3D7_1445300
PF02_0127	PF3D7_0213600
PFB0615c	PF3D7_0213600
PF14_0517	PF3D7_1454400
MAL7P1.86	PF3D7_0717300
2270.t00219	PF3D7_0609400
MAL6P1.97	PF3D7_0609400
PFF0465c	PF3D7_0609400
MAL5P1.92	PF3D7_0509100
PFE0450w	PF3D7_0509100
PF14_0672	PF3D7_1470500
PF10_0295	PF3D7_1030200
2277.t00165	PF3D7_1217100
MAL12P1.165	PF3D7_1217100
PF3D7_1217100.1	PF3D7_1217100
PF3D7_1217100.2	PF3D7_1217100
PFL0825c	PF3D7_1217100
MAL7P1.87	PF3D7_0717600
PF13_0068	PF3D7_1312300
MAL7P1.5	PF3D7_0701600
PF14_0604	PF3D7_1463500
MAL4P1.132	PF3D7_0414000
PFD0685c	PF3D7_0414000
2277.t00120	PF3D7_1212000
MAL12P1.119	PF3D7_1212000
PFL0595c	PF3D7_1212000
PF14_0046	PF3D7_1404900
MAL3P6.8	PF3D7_0316900
PFC0740c	PF3D7_0316900
PF11_0159	PF3D7_1115000
MAL5P1.20	PF3D7_0501900
PFE0095c	PF3D7_0501900
PF11_0325	PF3D7_1131500
2270.t00214	PF3D7_0610000
MAL6P1.103	PF3D7_0610000
PFF0495w	PF3D7_0610000
PF11_0232	PF3D7_1122400
PF11_0161	PF3D7_1115300
MAL8P1.104	PF3D7_0811300
PF14_0559	PF3D7_1458600
PF10_0249	PF3D7_1025500
PF10_0250	PF3D7_1025500
PF10_0251	PF3D7_1025500
PF14_0540	PF3D7_1456700
MAL5P1.290	PF3D7_0529300
PFE1460w	PF3D7_0529300
MAL5P1.263	PF3D7_0526400
PFE1315w	PF3D7_0526400
2270.t00273	PF3D7_0604000
MAL6P1.43	PF3D7_0604000
PFF0195c	PF3D7_0604000
PF13_0031	PF3D7_1305900
PF14_0243	PF3D7_1426400,PF3D7_1426300
PF14_0243b	PF3D7_1426400
PF11_0421	PF3D7_1141000
PF14_0319	PF3D7_1433800
MAL3P2.4	PF3D7_0303800
PFC0175w	PF3D7_0303800
PFC10_API0039	PF3D7_API01700
PF14_0694	PF3D7_1472600
MAL5P1.252	PF3D7_0525300
PFE1260c	PF3D7_0525300
PF14_0017	PF3D7_1401500
PF07_0005	PF3D7_0702200
PF08_0003	PF3D7_0830500
MAL5P1.24	PF3D7_0502300
PFE0115c	PF3D7_0502300
PF14_0238	PF3D7_1425800
PF11_0209	PF3D7_1120200
MAL7P1.150	PF3D7_0727200
PF3D7_14_RUF4	PF3D7_1425000
PF3D7_14_RUF4.1	PF3D7_1425000
1396.t00347	PF3D7_1445800
PF14_0435	PF3D7_1445800
PF14_0050	PF3D7_1405300
PF11_0169	PF3D7_1116200
PF3D7_1116200.1	PF3D7_1116200
PF3D7_1116200.2	PF3D7_1116200
PF11_0204	PF3D7_1119700
PF14_0683	PF3D7_1471600
MAL5P1.196	PF3D7_0519500
PFE0980c	PF3D7_0519500
PF11_0271	PF3D7_1126100
PF11_0022	PF3D7_1101400
PFC10_API0058	PF3D7_API03900
PFC10_API0058:tRNA	PF3D7_API03900
PF14_0298	PF3D7_1431900
PF14_0299	PF3D7_1431900
2277.t00330	PF3D7_1234200
MAL12P1.329	PF3D7_1234200
PFL1650w	PF3D7_1234200
PF11_0054	PF3D7_1104300
PF13_0211	PF3D7_1337800
